StudentID,SchoolCode,SchoolName,PaymentDate,AmountReceived,PaymentMethod,LatePayment,CreditCardNumber,TransactionNo,BankName,PaymentType,Weekday,CheckNumber
22,GP,Gabriel Pereira,2022-07-11,1209,Check,No,,80841241,Caixa Geral de Depósitos,che,Monday,3546
23,GP,Gabriel Pereira,2020-02-09,1188,Check,No,,53487401,Novobanco,che,Sunday,5533
24,GP,Gabriel Pereira,2018-10-30,903,Cash,No,,42786801,,cas,Tuesday,
25,GP,Gabriel Pereira,2019-01-02,1052,Check,Yes,,59826204,Banco Palmas,che,Wednesday,1653
26,GP,Gabriel Pereira,2023-08-15,1266,Credit Card,No,1586923226025634,21607337,Banco Palmas,cre,Tuesday,
27,GP,Gabriel Pereira,2020-04-17,1133,Credit Card,Yes,3654145868501429,40196556,Caixa Geral de Depósitos,cre,Friday,
28,GP,Gabriel Pereira,2020-09-27,1490,Credit Card,No,6088356159514846,56482366,Chase,cre,Sunday,
29,GP,Gabriel Pereira,2022-01-12,1482,Cash,No,,04436995,,cas,Wednesday,
30,GP,Gabriel Pereira,2021-03-10,1352,Cash,No,,87214895,,cas,Wednesday,
31,GP,Gabriel Pereira,2019-02-08,1140,Check,No,,32003791,Banco Atlantico Europa,che,Friday,7790
32,GP,Gabriel Pereira,2023-07-20,1544,Check,No,,67632016,Banco Do Brasil,che,Thursday,3881
33,GP,Gabriel Pereira,2023-02-02,1430,Cash,Yes,,31727889,,cas,Thursday,
34,GP,Gabriel Pereira,2020-05-11,1353,Check,No,,86872774,Banco Do Brasil,che,Monday,5543
35,GP,Gabriel Pereira,2022-11-16,1433,Cash,No,,47143455,,cas,Wednesday,
36,GP,Gabriel Pereira,2023-08-03,1453,Credit Card,No,3623166587603669,09670546,Novobanco,cre,Thursday,
37,GP,Gabriel Pereira,2021-08-07,1459,Check,No,,73467065,Novobanco,che,Saturday,3704
38,GP,Gabriel Pereira,2023-04-18,1378,Credit Card,No,8069901627204653,75564641,Banco Atlantico Europa,cre,Tuesday,
39,GP,Gabriel Pereira,2018-09-09,1452,Credit Card,No,5310033092327193,74529912,Banco Cruzeiro do Sul,cre,Sunday,
40,GP,Gabriel Pereira,2019-03-10,1492,Credit Card,No,9663193149190586,51850671,Novobanco,cre,Sunday,
41,GP,Gabriel Pereira,2023-12-20,1270,Check,No,,72628498,Banco Atlantico Europa,che,Wednesday,8616
42,GP,Gabriel Pereira,2021-01-09,1506,Cash,No,,31473799,,cas,Saturday,
43,GP,Gabriel Pereira,2022-04-30,1288,Cash,Yes,,52735454,,cas,Saturday,
44,GP,Gabriel Pereira,2023-07-08,1510,Check,No,,80831367,Banco Do Brasil,che,Saturday,8800
45,GP,Gabriel Pereira,2022-03-15,1402,Cash,No,,14363495,,cas,Tuesday,
46,GP,Gabriel Pereira,2021-03-27,1466,Check,No,,85574443,Caixa Geral de Depósitos,che,Saturday,4155
47,GP,Gabriel Pereira,2020-05-08,1022,Check,No,,23374989,Banco Cruzeiro do Sul,che,Friday,2647
48,GP,Gabriel Pereira,2023-04-02,1098,Cash,No,,24082400,,cas,Sunday,
49,GP,Gabriel Pereira,2021-09-07,1199,Check,No,,71094777,Banco Palmas,che,Tuesday,4020
50,GP,Gabriel Pereira,2023-12-30,952,Cash,No,,71167190,,cas,Saturday,
51,GP,Gabriel Pereira,2019-06-07,1052,Check,No,,13186999,Banco Do Brasil,che,Friday,9561
52,GP,Gabriel Pereira,2020-09-18,1361,Cash,No,,96499091,,cas,Friday,
53,GP,Gabriel Pereira,2023-11-23,1112,Check,No,,12328120,Novobanco,che,Thursday,8381
54,GP,Gabriel Pereira,2022-06-12,1508,Cash,No,,34471349,,cas,Sunday,
55,GP,Gabriel Pereira,2022-04-16,1102,Cash,No,,32421024,,cas,Saturday,
56,GP,Gabriel Pereira,2021-12-01,1482,Cash,No,,74648877,,cas,Wednesday,
57,GP,Gabriel Pereira,2019-01-12,1512,Credit Card,No,5940139904902787,42967175,Novobanco,cre,Saturday,
58,GP,Gabriel Pereira,2020-06-13,1228,Check,No,,25674680,Banco Atlantico Europa,che,Saturday,2442
59,GP,Gabriel Pereira,2020-05-06,1158,Cash,No,,68087603,,cas,Wednesday,
60,GP,Gabriel Pereira,2021-06-27,1270,Check,No,,70348247,Banco Atlantico Europa,che,Sunday,2989
61,GP,Gabriel Pereira,2018-09-29,1545,Check,No,,24808613,Caixa Geral de Depósitos,che,Saturday,8560
62,GP,Gabriel Pereira,2023-11-22,1020,Check,No,,74846773,Banco Atlantico Europa,che,Wednesday,3369
63,GP,Gabriel Pereira,2020-09-24,1095,Check,No,,21465840,Banco Cruzeiro do Sul,che,Thursday,5891
64,GP,Gabriel Pereira,2023-04-12,1501,Check,No,,72787558,Novobanco,che,Wednesday,8460
65,GP,Gabriel Pereira,2023-10-24,1229,Credit Card,No,3963605766270289,51718702,Novobanco,cre,Tuesday,
66,GP,Gabriel Pereira,2023-06-19,1570,Credit Card,Yes,4596158657809134,31611724,Millennium BCP,cre,Monday,
67,GP,Gabriel Pereira,2018-11-03,1232,Credit Card,No,5623869222196937,92374740,Banco Atlantico Europa,cre,Saturday,
68,GP,Gabriel Pereira,2023-08-20,1194,Check,No,,17594647,Banco Cruzeiro do Sul,che,Sunday,4263
69,GP,Gabriel Pereira,2020-09-26,1394,Credit Card,No,9594406409097439,53394210,Banco Cruzeiro do Sul,cre,Saturday,
70,GP,Gabriel Pereira,2023-01-02,1351,Credit Card,No,2145623285884247,45171236,Banco Palmas,cre,Monday,
71,GP,Gabriel Pereira,2019-02-01,1304,Credit Card,No,1754965137098593,17461200,Banco Cruzeiro do Sul,cre,Friday,
72,GP,Gabriel Pereira,2021-05-05,1018,Credit Card,No,8267586926179640,53773515,Banco Palmas,cre,Wednesday,
73,GP,Gabriel Pereira,2018-12-03,1307,Cash,No,,17139005,,cas,Monday,
74,GP,Gabriel Pereira,2019-12-12,1028,Check,No,,83933529,Millennium BCP,che,Thursday,5542
75,GP,Gabriel Pereira,2023-05-25,1048,Credit Card,No,2102053950240268,11775891,Banco Atlantico Europa,cre,Thursday,
76,GP,Gabriel Pereira,2021-05-28,1126,Check,Yes,,84700766,Caixa Geral de Depósitos,che,Friday,9032
77,GP,Gabriel Pereira,2022-07-29,1354,Credit Card,No,5921249985698478,96118367,Banco Do Brasil,cre,Friday,
78,GP,Gabriel Pereira,2020-11-25,1247,Cash,No,,15654527,,cas,Wednesday,
79,GP,Gabriel Pereira,2018-12-16,993,Credit Card,Yes,1528098851656049,45198327,Banco Do Brasil,cre,Sunday,
80,GP,Gabriel Pereira,2023-05-02,1010,Cash,No,,51493689,,cas,Tuesday,
81,GP,Gabriel Pereira,2022-01-08,1591,Check,No,,94024455,Millennium BCP,che,Saturday,3972
82,GP,Gabriel Pereira,2023-06-17,1046,Check,No,,12018366,Banco Atlantico Europa,che,Saturday,6585
83,GP,Gabriel Pereira,2019-06-19,1278,Cash,No,,99102290,,cas,Wednesday,
84,GP,Gabriel Pereira,2022-05-12,983,Cash,No,,67976438,,cas,Thursday,
85,GP,Gabriel Pereira,2019-03-22,1253,Cash,No,,97840369,,cas,Friday,
86,GP,Gabriel Pereira,2018-11-21,907,Credit Card,No,3244510762268388,51606071,Banco Palmas,cre,Wednesday,
87,GP,Gabriel Pereira,2021-10-23,1339,Check,No,,64160529,Banco Atlantico Europa,che,Saturday,6928
88,GP,Gabriel Pereira,2019-01-28,1347,Credit Card,No,9681645352181883,55231243,Chase,cre,Monday,
89,GP,Gabriel Pereira,2021-12-16,1056,Check,Yes,,77997995,Banco Palmas,che,Thursday,3473
90,GP,Gabriel Pereira,2021-01-17,969,Cash,No,,44905814,,cas,Sunday,
91,GP,Gabriel Pereira,2021-03-03,1362,Credit Card,Yes,4119986798079359,78207151,Chase,cre,Wednesday,
92,GP,Gabriel Pereira,2018-10-20,1153,Check,No,,78892554,Novobanco,che,Saturday,7697
93,GP,Gabriel Pereira,2022-12-04,1246,Check,No,,51518644,Chase,che,Sunday,6461
94,GP,Gabriel Pereira,2019-01-14,1496,Check,No,,54629148,Novobanco,che,Monday,6381
95,GP,Gabriel Pereira,2023-02-21,1030,Check,No,,81685054,Chase,che,Tuesday,4509
96,GP,Gabriel Pereira,2020-06-30,1397,Credit Card,No,2214188805929622,29270653,Banco Atlantico Europa,cre,Tuesday,
97,GP,Gabriel Pereira,2022-01-02,1191,Check,No,,38347359,Banco Atlantico Europa,che,Sunday,8564
98,GP,Gabriel Pereira,2022-11-23,1188,Cash,No,,62392407,,cas,Wednesday,
99,GP,Gabriel Pereira,2023-06-26,1280,Check,No,,81412478,Chase,che,Monday,8167
100,GP,Gabriel Pereira,2019-02-04,1127,Cash,No,,06068536,,cas,Monday,
101,GP,Gabriel Pereira,2019-01-15,1283,Credit Card,Yes,1522047277901043,28986143,Banco Cruzeiro do Sul,cre,Tuesday,
102,GP,Gabriel Pereira,2019-04-07,948,Credit Card,No,9711798089324609,53962185,Caixa Geral de Depósitos,cre,Sunday,
103,GP,Gabriel Pereira,2023-12-05,1438,Check,No,,88067065,Banco Cruzeiro do Sul,che,Tuesday,1266
104,GP,Gabriel Pereira,2020-08-01,969,Cash,No,,19520585,,cas,Saturday,
105,GP,Gabriel Pereira,2023-02-22,1558,Credit Card,No,7722170430305486,87403450,Banco Palmas,cre,Wednesday,
106,GP,Gabriel Pereira,2020-02-11,1027,Cash,No,,67652775,,cas,Tuesday,
107,GP,Gabriel Pereira,2023-10-06,1431,Cash,No,,61692845,,cas,Friday,
108,GP,Gabriel Pereira,2019-02-27,981,Cash,No,,47962757,,cas,Wednesday,
109,GP,Gabriel Pereira,2018-10-26,1261,Check,No,,40165820,Chase,che,Friday,8179
110,GP,Gabriel Pereira,2018-10-11,1029,Credit Card,No,5569092755719285,65431027,Novobanco,cre,Thursday,
111,GP,Gabriel Pereira,2023-09-14,1475,Credit Card,No,4739473121727155,18844225,Banco Do Brasil,cre,Thursday,
112,GP,Gabriel Pereira,2019-04-06,1105,Credit Card,No,7058957829114678,66912517,Banco Atlantico Europa,cre,Saturday,
113,GP,Gabriel Pereira,2022-05-24,1429,Cash,No,,89226801,,cas,Tuesday,
114,GP,Gabriel Pereira,2021-06-27,1056,Cash,No,,53584143,,cas,Sunday,
115,GP,Gabriel Pereira,2022-02-21,1464,Cash,No,,49818299,,cas,Monday,
116,GP,Gabriel Pereira,2019-06-12,1075,Check,No,,95900109,Banco Cruzeiro do Sul,che,Wednesday,4453
117,GP,Gabriel Pereira,2022-11-18,1485,Cash,No,,07844736,,cas,Friday,
118,GP,Gabriel Pereira,2020-04-01,1364,Credit Card,No,2767735925556258,81537147,Banco Do Brasil,cre,Wednesday,
119,GP,Gabriel Pereira,2019-05-16,999,Credit Card,No,6963259532787747,01687339,Banco Palmas,cre,Thursday,
120,GP,Gabriel Pereira,2018-11-08,951,Cash,No,,74801624,,cas,Thursday,
121,GP,Gabriel Pereira,2022-08-29,1274,Cash,No,,60983584,,cas,Monday,
122,GP,Gabriel Pereira,2018-12-29,1295,Check,No,,84991216,Banco Palmas,che,Saturday,6555
123,GP,Gabriel Pereira,2021-09-16,1274,Credit Card,No,8680002578729825,95269495,Banco Atlantico Europa,cre,Thursday,
124,GP,Gabriel Pereira,2022-07-22,1476,Cash,No,,05516940,,cas,Friday,
125,GP,Gabriel Pereira,2021-12-05,1385,Cash,No,,99309728,,cas,Sunday,
126,GP,Gabriel Pereira,2022-02-09,1534,Cash,No,,30913075,,cas,Wednesday,
127,GP,Gabriel Pereira,2020-12-05,1055,Cash,No,,68970283,,cas,Saturday,
128,GP,Gabriel Pereira,2021-09-22,1232,Check,No,,65278585,Banco Cruzeiro do Sul,che,Wednesday,8932
129,GP,Gabriel Pereira,2019-08-29,1152,Cash,No,,34437575,,cas,Thursday,
130,GP,Gabriel Pereira,2021-09-21,1180,Cash,No,,86652404,,cas,Tuesday,
131,GP,Gabriel Pereira,2023-12-09,980,Cash,No,,47338484,,cas,Saturday,
132,GP,Gabriel Pereira,2019-05-09,1011,Check,No,,33083301,Novobanco,che,Thursday,6411
133,GP,Gabriel Pereira,2022-08-09,1383,Credit Card,No,2082677345401938,02620672,Banco Cruzeiro do Sul,cre,Tuesday,
134,GP,Gabriel Pereira,2023-07-01,938,Credit Card,No,9154788728743152,74205493,Chase,cre,Saturday,
135,GP,Gabriel Pereira,2022-01-03,1554,Cash,No,,85161227,,cas,Monday,
136,GP,Gabriel Pereira,2020-05-24,1154,Credit Card,No,3745499045301742,68414593,Banco Do Brasil,cre,Sunday,
137,GP,Gabriel Pereira,2023-12-13,1036,Cash,No,,95687833,,cas,Wednesday,
138,GP,Gabriel Pereira,2022-05-25,1510,Credit Card,No,8519108839822587,13971870,Banco Atlantico Europa,cre,Wednesday,
139,GP,Gabriel Pereira,2019-04-28,1425,Cash,No,,08740640,,cas,Sunday,
140,GP,Gabriel Pereira,2022-10-06,1123,Check,Yes,,65180170,Banco Cruzeiro do Sul,che,Thursday,7698
141,GP,Gabriel Pereira,2019-08-04,1038,Check,No,,65676618,Chase,che,Sunday,6697
142,GP,Gabriel Pereira,2019-03-31,1082,Check,No,,23004786,Novobanco,che,Sunday,4762
143,GP,Gabriel Pereira,2019-12-20,1371,Cash,No,,31069033,,cas,Friday,
144,GP,Gabriel Pereira,2018-12-16,1003,Check,Yes,,90306738,Banco Do Brasil,che,Sunday,1924
145,GP,Gabriel Pereira,2019-05-14,1415,Cash,No,,95995342,,cas,Tuesday,
146,GP,Gabriel Pereira,2022-04-14,1433,Credit Card,No,4089268705685662,46287334,Chase,cre,Thursday,
147,GP,Gabriel Pereira,2023-02-06,1374,Credit Card,No,6882634351751830,46990139,Banco Do Brasil,cre,Monday,
148,GP,Gabriel Pereira,2021-04-08,1113,Cash,No,,03317393,,cas,Thursday,
149,GP,Gabriel Pereira,2020-10-21,1145,Check,No,,46785445,Banco Atlantico Europa,che,Wednesday,8635
150,GP,Gabriel Pereira,2019-02-18,1380,Cash,No,,55609320,,cas,Monday,
151,GP,Gabriel Pereira,2020-01-17,1466,Check,No,,64235369,Banco Do Brasil,che,Friday,9180
152,GP,Gabriel Pereira,2021-09-01,1570,Check,No,,77725228,Banco Atlantico Europa,che,Wednesday,4015
153,GP,Gabriel Pereira,2023-09-21,1455,Check,No,,80100623,Caixa Geral de Depósitos,che,Thursday,3474
154,GP,Gabriel Pereira,2018-08-19,1123,Check,No,,09977008,Novobanco,che,Sunday,1194
155,GP,Gabriel Pereira,2018-09-04,1442,Check,No,,40862118,Chase,che,Tuesday,4948
156,GP,Gabriel Pereira,2019-08-29,1534,Check,No,,54615679,Banco Do Brasil,che,Thursday,4700
157,GP,Gabriel Pereira,2020-04-06,1600,Credit Card,No,0166687002176591,80339740,Caixa Geral de Depósitos,cre,Monday,
158,GP,Gabriel Pereira,2022-06-02,1187,Check,No,,02503926,Caixa Geral de Depósitos,che,Thursday,5903
159,GP,Gabriel Pereira,2019-06-29,1477,Credit Card,No,6856218501631599,96504773,Banco Palmas,cre,Saturday,
160,GP,Gabriel Pereira,2021-09-06,1284,Cash,No,,96194311,,cas,Monday,
161,GP,Gabriel Pereira,2020-01-31,1057,Cash,No,,26551104,,cas,Friday,
162,GP,Gabriel Pereira,2021-01-27,1268,Cash,No,,12678886,,cas,Wednesday,
163,GP,Gabriel Pereira,2019-02-28,926,Credit Card,No,1995604661839826,22444721,Chase,cre,Thursday,
164,GP,Gabriel Pereira,2021-01-07,1182,Cash,No,,15437993,,cas,Thursday,
165,GP,Gabriel Pereira,2021-02-23,1009,Credit Card,No,6596575692459375,26547935,Novobanco,cre,Tuesday,
166,GP,Gabriel Pereira,2020-02-26,1302,Cash,No,,93982807,,cas,Wednesday,
167,GP,Gabriel Pereira,2023-11-14,1114,Cash,No,,16724342,,cas,Tuesday,
168,GP,Gabriel Pereira,2022-08-04,1333,Cash,Yes,,97968868,,cas,Thursday,
169,GP,Gabriel Pereira,2018-10-15,1268,Check,No,,89113529,Millennium BCP,che,Monday,7547
170,GP,Gabriel Pereira,2022-10-20,1239,Cash,No,,14388899,,cas,Thursday,
171,GP,Gabriel Pereira,2019-10-27,1356,Cash,No,,98250714,,cas,Sunday,
172,GP,Gabriel Pereira,2020-11-29,987,Credit Card,No,2545738757177514,01051238,Chase,cre,Sunday,
173,GP,Gabriel Pereira,2021-09-04,1063,Cash,No,,73622660,,cas,Saturday,
174,GP,Gabriel Pereira,2022-09-19,1528,Credit Card,No,6603341918255371,47859696,Caixa Geral de Depósitos,cre,Monday,
175,GP,Gabriel Pereira,2020-07-13,1260,Cash,No,,49912513,,cas,Monday,
176,GP,Gabriel Pereira,2020-04-17,1019,Credit Card,No,2866929662782827,42257905,Millennium BCP,cre,Friday,
177,GP,Gabriel Pereira,2021-04-19,1039,Credit Card,No,8876767721903404,38427978,Caixa Geral de Depósitos,cre,Monday,
178,GP,Gabriel Pereira,2021-10-16,1016,Cash,No,,58078361,,cas,Saturday,
179,GP,Gabriel Pereira,2022-09-16,1569,Credit Card,No,0745171339596292,33095849,Chase,cre,Friday,
180,GP,Gabriel Pereira,2020-05-24,1199,Cash,No,,81260422,,cas,Sunday,
181,GP,Gabriel Pereira,2019-12-25,1049,Check,No,,36729466,Banco Atlantico Europa,che,Wednesday,2237
182,GP,Gabriel Pereira,2022-02-18,995,Cash,No,,45775901,,cas,Friday,
183,GP,Gabriel Pereira,2022-09-05,1369,Check,No,,51863637,Banco Cruzeiro do Sul,che,Monday,6289
184,GP,Gabriel Pereira,2023-03-24,1190,Cash,No,,29750017,,cas,Friday,
185,GP,Gabriel Pereira,2018-09-03,1027,Credit Card,No,0632424154152064,36110371,Chase,cre,Monday,
186,GP,Gabriel Pereira,2021-11-28,1131,Check,No,,00516271,Banco Do Brasil,che,Sunday,7276
187,GP,Gabriel Pereira,2019-01-30,1004,Credit Card,No,4262218909275326,97311219,Novobanco,cre,Wednesday,
188,GP,Gabriel Pereira,2020-07-20,1339,Cash,No,,34138999,,cas,Monday,
189,GP,Gabriel Pereira,2020-03-06,927,Check,No,,38983640,Banco Do Brasil,che,Friday,9108
190,GP,Gabriel Pereira,2020-09-29,1015,Credit Card,No,9180552696582710,91043006,Banco Cruzeiro do Sul,cre,Tuesday,
191,GP,Gabriel Pereira,2022-02-08,1413,Cash,No,,61889241,,cas,Tuesday,
192,GP,Gabriel Pereira,2020-04-26,980,Check,No,,28569146,Banco Do Brasil,che,Sunday,1948
193,GP,Gabriel Pereira,2019-12-14,988,Cash,No,,99042102,,cas,Saturday,
194,GP,Gabriel Pereira,2022-07-07,911,Credit Card,No,5884252410564814,91778507,Chase,cre,Thursday,
195,GP,Gabriel Pereira,2020-08-23,1061,Cash,No,,91380003,,cas,Sunday,
196,GP,Gabriel Pereira,2018-11-03,1383,Cash,No,,22086353,,cas,Saturday,
197,GP,Gabriel Pereira,2020-11-30,1227,Cash,No,,95180238,,cas,Monday,
198,GP,Gabriel Pereira,2018-11-03,1310,Credit Card,No,4451870534949375,97383206,Millennium BCP,cre,Saturday,
199,GP,Gabriel Pereira,2019-11-21,1454,Cash,No,,05064138,,cas,Thursday,
200,GP,Gabriel Pereira,2019-12-01,1329,Cash,No,,24103865,,cas,Sunday,
201,GP,Gabriel Pereira,2021-02-24,986,Check,Yes,,26199062,Banco Do Brasil,che,Wednesday,5778
202,GP,Gabriel Pereira,2020-01-17,1222,Cash,No,,55743132,,cas,Friday,
203,GP,Gabriel Pereira,2022-12-15,1498,Credit Card,No,2775618537474112,49035213,Banco Palmas,cre,Thursday,
204,GP,Gabriel Pereira,2020-10-20,1425,Credit Card,No,4206788317121003,23651994,Caixa Geral de Depósitos,cre,Tuesday,
205,GP,Gabriel Pereira,2018-09-14,966,Credit Card,No,7215107029667066,25324472,Millennium BCP,cre,Friday,
206,GP,Gabriel Pereira,2022-01-09,1534,Check,No,,47687014,Novobanco,che,Sunday,3248
207,GP,Gabriel Pereira,2020-12-06,1104,Check,No,,83806578,Banco Atlantico Europa,che,Sunday,6636
208,GP,Gabriel Pereira,2023-09-13,1479,Check,No,,42059304,Millennium BCP,che,Wednesday,8728
209,GP,Gabriel Pereira,2021-07-20,1266,Check,No,,21334803,Novobanco,che,Tuesday,6813
210,GP,Gabriel Pereira,2023-10-29,1077,Credit Card,No,5590599293784270,10393087,Millennium BCP,cre,Sunday,
211,GP,Gabriel Pereira,2020-06-10,1528,Credit Card,No,5250029218515691,54522675,Chase,cre,Wednesday,
212,GP,Gabriel Pereira,2022-07-19,1475,Check,No,,95392644,Chase,che,Tuesday,3911
213,GP,Gabriel Pereira,2022-09-01,901,Check,No,,69029593,Caixa Geral de Depósitos,che,Thursday,9129
214,GP,Gabriel Pereira,2019-05-16,1239,Check,Yes,,55215704,Banco Do Brasil,che,Thursday,5088
215,GP,Gabriel Pereira,2022-06-20,969,Cash,No,,10067626,,cas,Monday,
216,GP,Gabriel Pereira,2021-05-06,1287,Cash,No,,17932710,,cas,Thursday,
217,GP,Gabriel Pereira,2020-03-26,920,Cash,No,,11526218,,cas,Thursday,
218,GP,Gabriel Pereira,2023-11-11,995,Cash,No,,97062962,,cas,Saturday,
219,GP,Gabriel Pereira,2018-11-18,1003,Cash,No,,36884443,,cas,Sunday,
220,GP,Gabriel Pereira,2019-02-13,950,Cash,No,,72050614,,cas,Wednesday,
221,GP,Gabriel Pereira,2023-03-15,1577,Check,No,,31032417,Caixa Geral de Depósitos,che,Wednesday,6052
222,GP,Gabriel Pereira,2022-12-25,1307,Cash,No,,41862565,,cas,Sunday,
223,GP,Gabriel Pereira,2019-08-18,1356,Credit Card,No,7434902115869380,68687937,Banco Cruzeiro do Sul,cre,Sunday,
224,GP,Gabriel Pereira,2019-01-09,1304,Check,Yes,,98992172,Chase,che,Wednesday,4471
225,GP,Gabriel Pereira,2023-02-11,1097,Credit Card,Yes,1632945116868548,70998616,Chase,cre,Saturday,
226,GP,Gabriel Pereira,2019-05-31,1480,Check,No,,11914856,Banco Cruzeiro do Sul,che,Friday,7275
227,GP,Gabriel Pereira,2022-04-03,1397,Check,No,,02462996,Millennium BCP,che,Sunday,7484
228,GP,Gabriel Pereira,2023-07-27,1239,Check,No,,74505444,Banco Atlantico Europa,che,Thursday,2609
229,GP,Gabriel Pereira,2023-06-15,1133,Credit Card,No,7546913736785082,14862890,Chase,cre,Thursday,
230,GP,Gabriel Pereira,2019-08-30,1105,Credit Card,No,7053457861035797,27985524,Caixa Geral de Depósitos,cre,Friday,
231,GP,Gabriel Pereira,2020-03-06,928,Cash,Yes,,93333468,,cas,Friday,
232,GP,Gabriel Pereira,2018-09-11,1598,Credit Card,No,2290349446657437,48969108,Banco Palmas,cre,Tuesday,
233,GP,Gabriel Pereira,2021-09-23,1562,Check,No,,41715454,Banco Cruzeiro do Sul,che,Thursday,5895
234,GP,Gabriel Pereira,2019-08-21,1053,Check,No,,09652074,Banco Cruzeiro do Sul,che,Wednesday,7857
235,GP,Gabriel Pereira,2020-11-06,1297,Check,Yes,,93538758,Banco Cruzeiro do Sul,che,Friday,3785
236,GP,Gabriel Pereira,2023-04-18,1573,Check,No,,17248251,Banco Do Brasil,che,Tuesday,6820
237,GP,Gabriel Pereira,2019-11-01,1214,Cash,No,,55494717,,cas,Friday,
238,GP,Gabriel Pereira,2018-11-18,1549,Check,No,,91738168,Banco Cruzeiro do Sul,che,Sunday,7768
239,GP,Gabriel Pereira,2018-11-19,1054,Credit Card,No,5697252175250074,32927129,Novobanco,cre,Monday,
240,GP,Gabriel Pereira,2022-02-18,1339,Cash,No,,76008350,,cas,Friday,
241,GP,Gabriel Pereira,2023-08-01,1229,Check,No,,03354216,Banco Cruzeiro do Sul,che,Tuesday,3736
242,GP,Gabriel Pereira,2018-12-12,946,Cash,No,,78985625,,cas,Wednesday,
243,GP,Gabriel Pereira,2023-08-21,1401,Cash,No,,26033230,,cas,Monday,
244,GP,Gabriel Pereira,2021-11-20,1416,Credit Card,No,0648909010016761,84723046,Caixa Geral de Depósitos,cre,Saturday,
245,GP,Gabriel Pereira,2022-04-18,1432,Cash,No,,26189141,,cas,Monday,
246,GP,Gabriel Pereira,2022-12-25,1008,Cash,No,,34835642,,cas,Sunday,
247,GP,Gabriel Pereira,2018-10-20,1461,Cash,No,,75300119,,cas,Saturday,
248,GP,Gabriel Pereira,2022-05-02,1405,Credit Card,No,8114374470120455,61100225,Banco Palmas,cre,Monday,
249,GP,Gabriel Pereira,2023-08-06,1348,Check,No,,15521667,Banco Cruzeiro do Sul,che,Sunday,7319
250,GP,Gabriel Pereira,2022-06-13,1389,Cash,No,,21202169,,cas,Monday,
251,GP,Gabriel Pereira,2021-04-15,1482,Check,No,,96590277,Caixa Geral de Depósitos,che,Thursday,7738
252,GP,Gabriel Pereira,2021-01-19,947,Credit Card,No,5089935889163756,28900287,Banco Atlantico Europa,cre,Tuesday,
253,GP,Gabriel Pereira,2023-06-16,1069,Credit Card,No,5354083866317797,17751701,Novobanco,cre,Friday,
254,GP,Gabriel Pereira,2020-11-22,936,Check,No,,19948837,Banco Palmas,che,Sunday,6953
255,GP,Gabriel Pereira,2023-03-18,955,Credit Card,No,5899757113055488,51027261,Banco Cruzeiro do Sul,cre,Saturday,
256,GP,Gabriel Pereira,2022-01-03,1100,Credit Card,No,6373516091779827,08086978,Chase,cre,Monday,
257,GP,Gabriel Pereira,2022-06-17,1492,Credit Card,No,2169958669346547,22698485,Banco Do Brasil,cre,Friday,
