IDAluno,NomeDaEscola,DataPagamento,ValorRecebido,MetodoPagamento,AtrasoPagamento,NumeroCartaoCredito,NumeroTransacao,NomeBanco,TipoPagamento,DiaSemana,NumeroCheque
76,Mousinho da Silveira,2021-05-28,1126,Check,Yes,,84700766,Millennium BCP,che,Friday,9032
77,Mousinho da Silveira,2022-07-29,1354,Credit Card,No,5921249985698478,96118367,Millennium BCP,cre,Friday,
78,Mousinho da Silveira,2020-11-25,1247,Cash,No,,15654527,,cas,Wednesday,
79,Mousinho da Silveira,2018-12-16,993,Credit Card,Yes,1528098851656049,45198327,Millennium BCP,cre,Sunday,
80,Mousinho da Silveira,2023-05-02,1010,Cash,No,,51493689,,cas,Tuesday,
81,Mousinho da Silveira,2022-01-08,1591,Check,No,,94024455,Millennium BCP,che,Saturday,3972
82,Mousinho da Silveira,2023-06-17,1046,Check,No,,12018366,Caixa Geral de Depósitos,che,Saturday,6585
83,Mousinho da Silveira,2019-06-19,1278,Cash,No,,99102290,,cas,Wednesday,
84,Mousinho da Silveira,2022-05-12,983,Cash,No,,67976438,,cas,Thursday,
85,Mousinho da Silveira,2019-03-22,1253,Cash,No,,97840369,,cas,Friday,
86,Mousinho da Silveira,2018-11-21,907,Credit Card,No,3244510762268388,51606071,Caixa Geral de Depósitos,cre,Wednesday,
87,Mousinho da Silveira,2021-10-23,1339,Check,No,,64160529,Caixa Geral de Depósitos,che,Saturday,6928
88,Mousinho da Silveira,2019-01-28,1347,Credit Card,No,9681645352181883,55231243,Millennium BCP,cre,Monday,
89,Mousinho da Silveira,2021-12-16,1056,Check,Yes,,77997995,Caixa Geral de Depósitos,che,Thursday,3473
90,Mousinho da Silveira,2021-01-17,969,Cash,No,,44905814,,cas,Sunday,
91,Mousinho da Silveira,2021-03-03,1362,Credit Card,Yes,4119986798079359,78207151,Millennium BCP,cre,Wednesday,
92,Mousinho da Silveira,2018-10-20,1153,Check,No,,78892554,Caixa Geral de Depósitos,che,Saturday,7697
93,Mousinho da Silveira,2022-12-04,1246,Check,No,,51518644,Millennium BCP,che,Sunday,6461
94,Mousinho da Silveira,2019-01-14,1496,Check,No,,54629148,Caixa Geral de Depósitos,che,Monday,6381
95,Mousinho da Silveira,2023-02-21,1030,Check,No,,81685054,Millennium BCP,che,Tuesday,4509
96,Mousinho da Silveira,2020-06-30,1397,Credit Card,No,2214188805929622,29270653,Caixa Geral de Depósitos,cre,Tuesday,
97,Mousinho da Silveira,2022-01-02,1191,Check,No,,38347359,Caixa Geral de Depósitos,che,Sunday,8564
98,Mousinho da Silveira,2022-11-23,1188,Cash,No,,62392407,,cas,Wednesday,
99,Mousinho da Silveira,2023-06-26,1280,Check,No,,81412478,Millennium BCP,che,Monday,8167
100,Mousinho da Silveira,2019-02-04,1127,Cash,No,,06068536,,cas,Monday,
101,Mousinho da Silveira,2019-01-15,1283,Credit Card,Yes,1522047277901043,28986143,Caixa Geral de Depósitos,cre,Tuesday,
102,Mousinho da Silveira,2019-04-07,948,Credit Card,No,9711798089324609,53962185,Millennium BCP,cre,Sunday,
103,Mousinho da Silveira,2023-12-05,1438,Check,No,,88067065,Caixa Geral de Depósitos,che,Tuesday,1266
104,Mousinho da Silveira,2020-08-01,969,Cash,No,,19520585,,cas,Saturday,
105,Mousinho da Silveira,2023-02-22,1558,Credit Card,No,7722170430305486,87403450,Caixa Geral de Depósitos,cre,Wednesday,
106,Mousinho da Silveira,2020-02-11,1027,Cash,No,,67652775,,cas,Tuesday,
107,Mousinho da Silveira,2023-10-06,1431,Cash,No,,61692845,,cas,Friday,
108,Mousinho da Silveira,2019-02-27,981,Cash,No,,47962757,,cas,Wednesday,
109,Mousinho da Silveira,2018-10-26,1261,Check,No,,40165820,Millennium BCP,che,Friday,8179
110,Mousinho da Silveira,2018-10-11,1029,Credit Card,No,5569092755719285,65431027,Caixa Geral de Depósitos,cre,Thursday,
111,Mousinho da Silveira,2023-09-14,1475,Credit Card,No,4739473121727155,18844225,Millennium BCP,cre,Thursday,
112,Mousinho da Silveira,2019-04-06,1105,Credit Card,No,7058957829114678,66912517,Caixa Geral de Depósitos,cre,Saturday,
113,Mousinho da Silveira,2022-05-24,1429,Cash,No,,89226801,,cas,Tuesday,
114,Mousinho da Silveira,2021-06-27,1056,Cash,No,,53584143,,cas,Sunday,
115,Mousinho da Silveira,2022-02-21,1464,Cash,No,,49818299,,cas,Monday,
116,Mousinho da Silveira,2019-06-12,1075,Check,No,,95900109,Caixa Geral de Depósitos,che,Wednesday,4453
117,Mousinho da Silveira,2022-11-18,1485,Cash,No,,07844736,,cas,Friday,
118,Mousinho da Silveira,2020-04-01,1364,Credit Card,No,2767735925556258,81537147,Millennium BCP,cre,Wednesday,
119,Mousinho da Silveira,2019-05-16,999,Credit Card,No,6963259532787747,01687339,Caixa Geral de Depósitos,cre,Thursday,
120,Mousinho da Silveira,2018-11-08,951,Cash,No,,74801624,,cas,Thursday,
121,Mousinho da Silveira,2022-08-29,1274,Cash,No,,60983584,,cas,Monday,
122,Mousinho da Silveira,2018-12-29,1295,Check,No,,84991216,Caixa Geral de Depósitos,che,Saturday,6555
123,Mousinho da Silveira,2021-09-16,1274,Credit Card,No,8680002578729825,95269495,Caixa Geral de Depósitos,cre,Thursday,
124,Mousinho da Silveira,2022-07-22,1476,Cash,No,,05516940,,cas,Friday,
125,Mousinho da Silveira,2021-12-05,1385,Cash,No,,99309728,,cas,Sunday,
126,Mousinho da Silveira,2022-02-09,1534,Cash,No,,30913075,,cas,Wednesday,
127,Mousinho da Silveira,2020-12-05,1055,Cash,No,,68970283,,cas,Saturday,
128,Mousinho da Silveira,2021-09-22,1232,Check,No,,65278585,Caixa Geral de Depósitos,che,Wednesday,8932
129,Mousinho da Silveira,2019-08-29,1152,Cash,No,,34437575,,cas,Thursday,
130,Mousinho da Silveira,2021-09-21,1180,Cash,No,,86652404,,cas,Tuesday,
131,Mousinho da Silveira,2023-12-09,980,Cash,No,,47338484,,cas,Saturday,
132,Mousinho da Silveira,2019-05-09,1011,Check,No,,33083301,Caixa Geral de Depósitos,che,Thursday,6411
133,Mousinho da Silveira,2022-08-09,1383,Credit Card,No,2082677345401938,02620672,Caixa Geral de Depósitos,cre,Tuesday,
134,Mousinho da Silveira,2023-07-01,938,Credit Card,No,9154788728743152,74205493,Millennium BCP,cre,Saturday,
135,Mousinho da Silveira,2022-01-03,1554,Cash,No,,85161227,,cas,Monday,
136,Mousinho da Silveira,2020-05-24,1154,Credit Card,No,3745499045301742,68414593,Millennium BCP,cre,Sunday,
137,Mousinho da Silveira,2023-12-13,1036,Cash,No,,95687833,,cas,Wednesday,
138,Mousinho da Silveira,2022-05-25,1510,Credit Card,No,8519108839822587,13971870,Caixa Geral de Depósitos,cre,Wednesday,
139,Mousinho da Silveira,2019-04-28,1425,Cash,No,,08740640,,cas,Sunday,
140,Mousinho da Silveira,2022-10-06,1123,Check,Yes,,65180170,Caixa Geral de Depósitos,che,Thursday,7698
141,Mousinho da Silveira,2019-08-04,1038,Check,No,,65676618,Millennium BCP,che,Sunday,6697
142,Mousinho da Silveira,2019-03-31,1082,Check,No,,23004786,Caixa Geral de Depósitos,che,Sunday,4762
143,Mousinho da Silveira,2019-12-20,1371,Cash,No,,31069033,,cas,Friday,
144,Mousinho da Silveira,2018-12-16,1003,Check,Yes,,90306738,Millennium BCP,che,Sunday,1924
145,Mousinho da Silveira,2019-05-14,1415,Cash,No,,95995342,,cas,Tuesday,
146,Mousinho da Silveira,2022-04-14,1433,Credit Card,No,4089268705685662,46287334,Millennium BCP,cre,Thursday,
147,Mousinho da Silveira,2023-02-06,1374,Credit Card,No,6882634351751830,46990139,Millennium BCP,cre,Monday,
148,Mousinho da Silveira,2021-04-08,1113,Cash,No,,03317393,,cas,Thursday,
149,Mousinho da Silveira,2020-10-21,1145,Check,No,,46785445,Caixa Geral de Depósitos,che,Wednesday,8635
150,Mousinho da Silveira,2019-02-18,1380,Cash,No,,55609320,,cas,Monday,
151,Mousinho da Silveira,2020-01-17,1466,Check,No,,64235369,Millennium BCP,che,Friday,9180
152,Mousinho da Silveira,2021-09-01,1570,Check,No,,77725228,Caixa Geral de Depósitos,che,Wednesday,4015
153,Mousinho da Silveira,2023-09-21,1455,Check,No,,80100623,Millennium BCP,che,Thursday,3474
154,Mousinho da Silveira,2018-08-19,1123,Check,No,,09977008,Caixa Geral de Depósitos,che,Sunday,1194
155,Mousinho da Silveira,2018-09-04,1442,Check,No,,40862118,Millennium BCP,che,Tuesday,4948
156,Mousinho da Silveira,2019-08-29,1534,Check,No,,54615679,Millennium BCP,che,Thursday,4700
157,Mousinho da Silveira,2020-04-06,1600,Credit Card,No,0166687002176591,80339740,Millennium BCP,cre,Monday,
158,Mousinho da Silveira,2022-06-02,1187,Check,No,,02503926,Millennium BCP,che,Thursday,5903
159,Mousinho da Silveira,2019-06-29,1477,Credit Card,No,6856218501631599,96504773,Caixa Geral de Depósitos,cre,Saturday,
160,Mousinho da Silveira,2021-09-06,1284,Cash,No,,96194311,,cas,Monday,
161,Mousinho da Silveira,2020-01-31,1057,Cash,No,,26551104,,cas,Friday,
162,Mousinho da Silveira,2021-01-27,1268,Cash,No,,12678886,,cas,Wednesday,
163,Mousinho da Silveira,2019-02-28,926,Credit Card,No,1995604661839826,22444721,Millennium BCP,cre,Thursday,
164,Mousinho da Silveira,2021-01-07,1182,Cash,No,,15437993,,cas,Thursday,
165,Mousinho da Silveira,2021-02-23,1009,Credit Card,No,6596575692459375,26547935,Caixa Geral de Depósitos,cre,Tuesday,
166,Mousinho da Silveira,2020-02-26,1302,Cash,No,,93982807,,cas,Wednesday,
167,Mousinho da Silveira,2023-11-14,1114,Cash,No,,16724342,,cas,Tuesday,
168,Mousinho da Silveira,2022-08-04,1333,Cash,Yes,,97968868,,cas,Thursday,
169,Mousinho da Silveira,2018-10-15,1268,Check,No,,89113529,Millennium BCP,che,Monday,7547
170,Mousinho da Silveira,2022-10-20,1239,Cash,No,,14388899,,cas,Thursday,
171,Mousinho da Silveira,2019-10-27,1356,Cash,No,,98250714,,cas,Sunday,
172,Mousinho da Silveira,2020-11-29,987,Credit Card,No,2545738757177514,01051238,Millennium BCP,cre,Sunday,
173,Mousinho da Silveira,2021-09-04,1063,Cash,No,,73622660,,cas,Saturday,
174,Mousinho da Silveira,2022-09-19,1528,Credit Card,No,6603341918255371,47859696,Millennium BCP,cre,Monday,
175,Mousinho da Silveira,2020-07-13,1260,Cash,No,,49912513,,cas,Monday,
176,Mousinho da Silveira,2020-04-17,1019,Credit Card,No,2866929662782827,42257905,Millennium BCP,cre,Friday,
177,Mousinho da Silveira,2021-04-19,1039,Credit Card,No,8876767721903404,38427978,Millennium BCP,cre,Monday,
178,Mousinho da Silveira,2021-10-16,1016,Cash,No,,58078361,,cas,Saturday,
179,Mousinho da Silveira,2022-09-16,1569,Credit Card,No,0745171339596292,33095849,Millennium BCP,cre,Friday,
180,Mousinho da Silveira,2020-05-24,1199,Cash,No,,81260422,,cas,Sunday,
181,Mousinho da Silveira,2019-12-25,1049,Check,No,,36729466,Caixa Geral de Depósitos,che,Wednesday,2237
182,Mousinho da Silveira,2022-02-18,995,Cash,No,,45775901,,cas,Friday,
183,Mousinho da Silveira,2022-09-05,1369,Check,No,,51863637,Caixa Geral de Depósitos,che,Monday,6289
184,Mousinho da Silveira,2023-03-24,1190,Cash,No,,29750017,,cas,Friday,
185,Mousinho da Silveira,2018-09-03,1027,Credit Card,No,0632424154152064,36110371,Millennium BCP,cre,Monday,
186,Mousinho da Silveira,2021-11-28,1131,Check,No,,00516271,Millennium BCP,che,Sunday,7276
187,Mousinho da Silveira,2019-01-30,1004,Credit Card,No,4262218909275326,97311219,Caixa Geral de Depósitos,cre,Wednesday,
188,Mousinho da Silveira,2020-07-20,1339,Cash,No,,34138999,,cas,Monday,
189,Mousinho da Silveira,2020-03-06,927,Check,No,,38983640,Millennium BCP,che,Friday,9108
190,Mousinho da Silveira,2020-09-29,1015,Credit Card,No,9180552696582710,91043006,Caixa Geral de Depósitos,cre,Tuesday,
191,Mousinho da Silveira,2022-02-08,1413,Cash,No,,61889241,,cas,Tuesday,
192,Mousinho da Silveira,2020-04-26,980,Check,No,,28569146,Millennium BCP,che,Sunday,1948
193,Mousinho da Silveira,2019-12-14,988,Cash,No,,99042102,,cas,Saturday,
194,Mousinho da Silveira,2022-07-07,911,Credit Card,No,5884252410564814,91778507,Millennium BCP,cre,Thursday,
195,Mousinho da Silveira,2020-08-23,1061,Cash,No,,91380003,,cas,Sunday,
196,Mousinho da Silveira,2018-11-03,1383,Cash,No,,22086353,,cas,Saturday,
197,Mousinho da Silveira,2020-11-30,1227,Cash,No,,95180238,,cas,Monday,
198,Mousinho da Silveira,2018-11-03,1310,Credit Card,No,4451870534949375,97383206,Millennium BCP,cre,Saturday,
199,Mousinho da Silveira,2019-11-21,1454,Cash,No,,05064138,,cas,Thursday,
200,Mousinho da Silveira,2019-12-01,1329,Cash,No,,24103865,,cas,Sunday,
201,Mousinho da Silveira,2021-02-24,986,Check,Yes,,26199062,Millennium BCP,che,Wednesday,5778
202,Mousinho da Silveira,2020-01-17,1222,Cash,No,,55743132,,cas,Friday,
203,Mousinho da Silveira,2022-12-15,1498,Credit Card,No,2775618537474112,49035213,Caixa Geral de Depósitos,cre,Thursday,
204,Mousinho da Silveira,2020-10-20,1425,Credit Card,No,4206788317121003,23651994,Millennium BCP,cre,Tuesday,
205,Mousinho da Silveira,2018-09-14,966,Credit Card,No,7215107029667066,25324472,Millennium BCP,cre,Friday,
206,Mousinho da Silveira,2022-01-09,1534,Check,No,,47687014,Caixa Geral de Depósitos,che,Sunday,3248
207,Mousinho da Silveira,2020-12-06,1104,Check,No,,83806578,Caixa Geral de Depósitos,che,Sunday,6636
208,Mousinho da Silveira,2023-09-13,1479,Check,No,,42059304,Millennium BCP,che,Wednesday,8728
209,Mousinho da Silveira,2021-07-20,1266,Check,No,,21334803,Caixa Geral de Depósitos,che,Tuesday,6813
210,Mousinho da Silveira,2023-10-29,1077,Credit Card,No,5590599293784270,10393087,Millennium BCP,cre,Sunday,
211,Mousinho da Silveira,2020-06-10,1528,Credit Card,No,5250029218515691,54522675,Millennium BCP,cre,Wednesday,
212,Mousinho da Silveira,2022-07-19,1475,Check,No,,95392644,Millennium BCP,che,Tuesday,3911
213,Mousinho da Silveira,2022-09-01,901,Check,No,,69029593,Millennium BCP,che,Thursday,9129
214,Mousinho da Silveira,2019-05-16,1239,Check,Yes,,55215704,Millennium BCP,che,Thursday,5088
215,Mousinho da Silveira,2022-06-20,969,Cash,No,,10067626,,cas,Monday,
216,Mousinho da Silveira,2021-05-06,1287,Cash,No,,17932710,,cas,Thursday,
217,Mousinho da Silveira,2020-03-26,920,Cash,No,,11526218,,cas,Thursday,
218,Mousinho da Silveira,2023-11-11,995,Cash,No,,97062962,,cas,Saturday,
219,Mousinho da Silveira,2018-11-18,1003,Cash,No,,36884443,,cas,Sunday,
220,Mousinho da Silveira,2019-02-13,950,Cash,No,,72050614,,cas,Wednesday,
221,Mousinho da Silveira,2023-03-15,1577,Check,No,,31032417,Millennium BCP,che,Wednesday,6052
222,Mousinho da Silveira,2022-12-25,1307,Cash,No,,41862565,,cas,Sunday,
223,Mousinho da Silveira,2019-08-18,1356,Credit Card,No,7434902115869380,68687937,Caixa Geral de Depósitos,cre,Sunday,
224,Mousinho da Silveira,2019-01-09,1304,Check,Yes,,98992172,Millennium BCP,che,Wednesday,4471
225,Mousinho da Silveira,2023-02-11,1097,Credit Card,Yes,1632945116868548,70998616,Millennium BCP,cre,Saturday,
226,Mousinho da Silveira,2019-05-31,1480,Check,No,,11914856,Caixa Geral de Depósitos,che,Friday,7275
227,Mousinho da Silveira,2022-04-03,1397,Check,No,,02462996,Millennium BCP,che,Sunday,7484
228,Mousinho da Silveira,2023-07-27,1239,Check,No,,74505444,Caixa Geral de Depósitos,che,Thursday,2609
229,Mousinho da Silveira,2023-06-15,1133,Credit Card,No,7546913736785082,14862890,Millennium BCP,cre,Thursday,
230,Mousinho da Silveira,2019-08-30,1105,Credit Card,No,7053457861035797,27985524,Millennium BCP,cre,Friday,
231,Mousinho da Silveira,2020-03-06,928,Cash,Yes,,93333468,,cas,Friday,
232,Mousinho da Silveira,2018-09-11,1598,Credit Card,No,2290349446657437,48969108,Caixa Geral de Depósitos,cre,Tuesday,
233,Mousinho da Silveira,2021-09-23,1562,Check,No,,41715454,Caixa Geral de Depósitos,che,Thursday,5895
234,Mousinho da Silveira,2019-08-21,1053,Check,No,,09652074,Caixa Geral de Depósitos,che,Wednesday,7857
235,Mousinho da Silveira,2020-11-06,1297,Check,Yes,,93538758,Caixa Geral de Depósitos,che,Friday,3785
236,Mousinho da Silveira,2023-04-18,1573,Check,No,,17248251,Millennium BCP,che,Tuesday,6820
237,Mousinho da Silveira,2019-11-01,1214,Cash,No,,55494717,,cas,Friday,
238,Mousinho da Silveira,2018-11-18,1549,Check,No,,91738168,Caixa Geral de Depósitos,che,Sunday,7768
239,Mousinho da Silveira,2018-11-19,1054,Credit Card,No,5697252175250074,32927129,Caixa Geral de Depósitos,cre,Monday,
240,Mousinho da Silveira,2022-02-18,1339,Cash,No,,76008350,,cas,Friday,
241,Mousinho da Silveira,2023-08-01,1229,Check,No,,03354216,Caixa Geral de Depósitos,che,Tuesday,3736
242,Mousinho da Silveira,2018-12-12,946,Cash,No,,78985625,,cas,Wednesday,
243,Mousinho da Silveira,2023-08-21,1401,Cash,No,,26033230,,cas,Monday,
244,Mousinho da Silveira,2021-11-20,1416,Credit Card,No,0648909010016761,84723046,Millennium BCP,cre,Saturday,
245,Mousinho da Silveira,2022-04-18,1432,Cash,No,,26189141,,cas,Monday,
246,Mousinho da Silveira,2022-12-25,1008,Cash,No,,34835642,,cas,Sunday,
247,Mousinho da Silveira,2018-10-20,1461,Cash,No,,75300119,,cas,Saturday,
248,Mousinho da Silveira,2022-05-02,1405,Credit Card,No,8114374470120455,61100225,Caixa Geral de Depósitos,cre,Monday,
249,Mousinho da Silveira,2023-08-06,1348,Check,No,,15521667,Caixa Geral de Depósitos,che,Sunday,7319
250,Mousinho da Silveira,2022-06-13,1389,Cash,No,,21202169,,cas,Monday,
251,Mousinho da Silveira,2021-04-15,1482,Check,No,,96590277,Millennium BCP,che,Thursday,7738
252,Mousinho da Silveira,2021-01-19,947,Credit Card,No,5089935889163756,28900287,Caixa Geral de Depósitos,cre,Tuesday,
253,Mousinho da Silveira,2023-06-16,1069,Credit Card,No,5354083866317797,17751701,Caixa Geral de Depósitos,cre,Friday,
254,Mousinho da Silveira,2020-11-22,936,Check,No,,19948837,Caixa Geral de Depósitos,che,Sunday,6953
255,Mousinho da Silveira,2023-03-18,955,Credit Card,No,5899757113055488,51027261,Caixa Geral de Depósitos,cre,Saturday,
256,Mousinho da Silveira,2022-01-03,1100,Credit Card,No,6373516091779827,08086978,Millennium BCP,cre,Monday,
257,Mousinho da Silveira,2022-06-17,1492,Credit Card,No,2169958669346547,22698485,Millennium BCP,cre,Friday,
258,Mousinho da Silveira,2019-09-16,1114,Check,No,,52288515,Caixa Geral de Depósitos,che,Monday,7839
259,Mousinho da Silveira,2022-05-12,1446,Cash,No,,60810620,,cas,Thursday,
260,Mousinho da Silveira,2022-05-04,957,Credit Card,No,2442043805719838,63840666,Caixa Geral de Depósitos,cre,Wednesday,
261,Mousinho da Silveira,2023-12-31,1465,Credit Card,Yes,4397359893347212,28160648,Caixa Geral de Depósitos,cre,Sunday,
262,Mousinho da Silveira,2019-04-24,1064,Check,No,,05720259,Millennium BCP,che,Wednesday,5934
